Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/17/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:42:11 PM
Resonance    : F1:2.87206281e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.00827400e+002 Q:7.04369916e+000
Capacitance  : 3.98331508e-009 F at 1.96930762e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.23432999e+001, 1.91046419e-002, -8.70299072e+001, 2.71215159e+000, -5.22729880e+001, 9.89901001e-004, 1.90789790e-002
9.77161875e+005, 5.42267418e+001, 1.84410858e-002, -8.66899414e+001, 3.13101360e+000, -5.41362751e+001, 1.06477521e-003, 1.84103205e-002
9.54845500e+005, 5.61779518e+001, 1.78005778e-002, -8.62178802e+001, 3.70563894e+000, -5.60556019e+001, 1.17417086e-003, 1.77618099e-002
9.33038625e+005, 5.74560318e+001, 1.74046130e-002, -8.49984894e+001, 5.00913221e+000, -5.72372622e+001, 1.51736911e-003, 1.73383432e-002
9.11729875e+005, 5.76409683e+001, 1.73487717e-002, -8.46577530e+001, 5.36664848e+000, -5.73905943e+001, 1.61525321e-003, 1.72734142e-002
8.90907750e+005, 5.87631912e+001, 1.70174556e-002, -8.53714600e+001, 4.74192084e+000, -5.85715531e+001, 1.37323086e-003, 1.69619584e-002
8.70561188e+005, 6.10735893e+001, 1.63736897e-002, -8.58651962e+001, 4.40360837e+000, -6.09146251e+001, 1.18059734e-003, 1.63310717e-002
8.50679250e+005, 6.36791382e+001, 1.57037301e-002, -8.52600708e+001, 5.26200085e+000, -6.34613582e+001, 1.29764698e-003, 1.56500240e-002
8.31251375e+005, 6.63958511e+001, 1.50611820e-002, -8.36000214e+001, 7.40105003e+000, -6.59820696e+001, 1.67884830e-003, 1.49673202e-002
8.12267250e+005, 6.68239670e+001, 1.49646907e-002, -7.93469772e+001, 1.23531388e+001, -6.56722356e+001, 2.76638622e-003, 1.47067697e-002
7.93716688e+005, 6.02935295e+001, 1.65855276e-002, -8.01474304e+001, 1.03170400e+001, -5.94042792e+001, 2.83800853e-003, 1.63409129e-002
7.75589750e+005, 6.20628586e+001, 1.61126964e-002, -8.56058731e+001, 4.75505916e+000, -6.18804317e+001, 1.23450364e-003, 1.60653350e-002
7.57876750e+005, 6.57587967e+001, 1.52070909e-002, -8.71969070e+001, 3.21584765e+000, -6.56801162e+001, 7.43682823e-004, 1.51888956e-002
7.40568375e+005, 6.92284622e+001, 1.44449258e-002, -8.75572662e+001, 2.95057470e+000, -6.91655557e+001, 6.15654766e-004, 1.44318000e-002
7.23655313e+005, 7.26473465e+001, 1.37651277e-002, -8.76977081e+001, 2.91837184e+000, -7.25887048e+001, 5.52969419e-004, 1.37540163e-002
7.07128375e+005, 7.57466736e+001, 1.32018999e-002, -8.77061234e+001, 3.03176105e+000, -7.56859761e+001, 5.28406118e-004, 1.31913209e-002
6.90978938e+005, 7.87248077e+001, 1.27024762e-002, -8.76703873e+001, 3.20002255e+000, -7.86597433e+001, 5.16332928e-004, 1.26919779e-002
6.75198375e+005, 8.26126785e+001, 1.21046795e-002, -8.75026398e+001, 3.59971186e+000, -8.25342155e+001, 5.27441541e-004, 1.20931829e-002
6.59778188e+005, 8.61371536e+001, 1.16093922e-002, -8.72907562e+001, 4.07149698e+000, -8.60408749e+001, 5.48748169e-004, 1.15964159e-002
6.44710188e+005, 9.03910828e+001, 1.10630382e-002, -8.66831970e+001, 5.22973929e+000, -9.02396679e+001, 6.40072048e-004, 1.10445064e-002
6.29986188e+005, 9.54667282e+001, 1.04748536e-002, -8.58117828e+001, 6.97223097e+000, -9.52117860e+001, 7.65011014e-004, 1.04468807e-002
6.15598563e+005, 1.00827400e+002, 9.91793895e-003, -8.44128571e+001, 9.81651236e+000, -1.00348397e+002, 9.65606275e-004, 9.87082153e-003
6.01539500e+005, 1.08213997e+002, 9.24094876e-003, -8.15196228e+001, 1.59583919e+001, -1.07030831e+002, 1.36276901e-003, 9.13991217e-003
5.87801563e+005, 1.15397598e+002, 8.66569162e-003, -7.63850174e+001, 2.71641641e+001, -1.12154866e+002, 2.03987147e-003, 8.42218117e-003
5.74377313e+005, 1.09262299e+002, 9.15228778e-003, -6.70315018e+001, 4.26368769e+001, -1.00599934e+002, 3.57145120e-003, 8.42669021e-003
5.61259688e+005, 9.82682190e+001, 1.01762300e-002, -6.59834900e+001, 3.99951522e+001, -8.97609641e+001, 4.14172427e-003, 9.29525564e-003
