Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/14/2021
Graph title  : Title
Points       : 300
Pen legend   : 3:14:18 PM
Resonance    : F1:2.87206281e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.10296097e+002 Q:7.04369916e+000
Capacitance  : 4.10945074e-009 F at 1.96930762e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.10307503e+001, 1.95960278e-002, -8.71177979e+001, 2.56596413e+000, -5.09661976e+001, 9.85341271e-004, 1.95712393e-002
9.77161875e+005, 5.25271988e+001, 1.90377561e-002, -8.67778320e+001, 2.95243837e+000, -5.24441581e+001, 1.07007042e-003, 1.90076592e-002
9.54845500e+005, 5.44159203e+001, 1.83769749e-002, -8.62618332e+001, 3.54775703e+000, -5.43001455e+001, 1.19812440e-003, 1.83378762e-002
9.33038625e+005, 5.58320503e+001, 1.79108593e-002, -8.51742706e+001, 4.69688922e+000, -5.56341359e+001, 1.50675681e-003, 1.78473686e-002
9.11729875e+005, 5.61917992e+001, 1.77961912e-002, -8.47016983e+001, 5.18881104e+000, -5.59517161e+001, 1.64331939e-003, 1.77201558e-002
8.90907750e+005, 5.71013603e+001, 1.75127176e-002, -8.54593506e+001, 4.52050656e+000, -5.69221431e+001, 1.38641802e-003, 1.74577526e-002
8.70561188e+005, 5.91545486e+001, 1.69048708e-002, -8.58212509e+001, 4.31049079e+000, -5.89972906e+001, 1.23182902e-003, 1.68599304e-002
8.50679250e+005, 6.22735100e+001, 1.60581923e-002, -8.52600708e+001, 5.14584952e+000, -6.20605372e+001, 1.32693727e-003, 1.60032740e-002
8.31251375e+005, 6.47201920e+001, 1.54511285e-002, -8.35560837e+001, 7.26358643e+000, -6.43113020e+001, 1.73408953e-003, 1.53535111e-002
8.12267250e+005, 6.53467331e+001, 1.53029838e-002, -7.96106491e+001, 1.17843903e+001, -6.42753738e+001, 2.75968400e-003, 1.50520915e-002
7.93716688e+005, 5.85873795e+001, 1.70685224e-002, -8.01034927e+001, 1.00693571e+001, -5.77155878e+001, 2.93355070e-003, 1.68145395e-002
7.75589750e+005, 6.01120682e+001, 1.66355947e-002, -8.56498108e+001, 4.55963257e+000, -5.99388896e+001, 1.26184644e-003, 1.65876687e-002
7.57876750e+005, 6.38941307e+001, 1.56508898e-002, -8.71529617e+001, 3.17360523e+000, -6.38152660e+001, 7.77375719e-004, 1.56315719e-002
7.40568375e+005, 6.70473328e+001, 1.49148364e-002, -8.76012192e+001, 2.80622546e+000, -6.69885806e+001, 6.24251436e-004, 1.49017669e-002
7.23655313e+005, 7.01305466e+001, 1.42591217e-002, -8.76977081e+001, 2.81726755e+000, -7.00739364e+001, 5.72814029e-004, 1.42476116e-002
7.07128375e+005, 7.31203690e+001, 1.36760798e-002, -8.77061234e+001, 2.92664319e+000, -7.30617760e+001, 5.47385172e-004, 1.36651208e-002
6.90978938e+005, 7.67288818e+001, 1.30329020e-002, -8.75824966e+001, 3.23649137e+000, -7.66605924e+001, 5.49739212e-004, 1.30213026e-002
