Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/17/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:09:14 PM
Resonance    : F1:2.87206281e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.13558197e+002 Q:7.04369916e+000
Capacitance  : 4.00899785e-009 F at 1.96930762e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.21753616e+001, 1.91661345e-002, -8.69859619e+001, 2.74341337e+000, -5.21031865e+001, 1.00776742e-003, 1.91396217e-002
9.77161875e+005, 5.38793297e+001, 1.85599933e-002, -8.67338867e+001, 3.06969737e+000, -5.37918128e+001, 1.05742895e-003, 1.85298461e-002
9.54845500e+005, 5.54604301e+001, 1.80308735e-002, -8.61739273e+001, 3.70076067e+000, -5.53368203e+001, 1.20316318e-003, 1.79906864e-002
9.33038625e+005, 5.70879288e+001, 1.75168380e-002, -8.49984894e+001, 4.97704024e+000, -5.68705608e+001, 1.52715311e-003, 1.74501409e-002
9.11729875e+005, 5.72716789e+001, 1.74606371e-002, -8.46577530e+001, 5.33226588e+000, -5.70229090e+001, 1.62566841e-003, 1.73847936e-002
8.90907750e+005, 5.83867111e+001, 1.71271850e-002, -8.54154129e+001, 4.66689548e+000, -5.81998980e+001, 1.36898929e-003, 1.70723851e-002
8.70561188e+005, 6.06823006e+001, 1.64792697e-002, -8.58212509e+001, 4.42181546e+000, -6.05209811e+001, 1.20081620e-003, 1.64354608e-002
8.50679250e+005, 6.36791382e+001, 1.57037301e-002, -8.52161331e+001, 5.31066510e+000, -6.34573044e+001, 1.30964793e-003, 1.56490243e-002
8.31251375e+005, 6.61828232e+001, 1.51096607e-002, -8.34681931e+001, 7.52861141e+000, -6.57532212e+001, 1.71879588e-003, 1.50115817e-002
8.12267250e+005, 6.68239670e+001, 1.49646907e-002, -7.91712036e+001, 1.25545515e+001, -6.56340293e+001, 2.81149098e-003, 1.46982138e-002
7.93716688e+005, 5.97150383e+001, 1.67462004e-002, -8.01474304e+001, 1.02180523e+001, -5.88343200e+001, 2.86550182e-003, 1.64992160e-002
7.75589750e+005, 6.14673882e+001, 1.62687895e-002, -8.56937637e+001, 4.61541796e+000, -6.12938637e+001, 1.22157888e-003, 1.62228622e-002
7.57876750e+005, 6.51278687e+001, 1.53544100e-002, -8.71969070e+001, 3.18499294e+000, -6.50499431e+001, 7.50887271e-004, 1.53360385e-002
7.40568375e+005, 6.87849274e+001, 1.45380687e-002, -8.75572662e+001, 2.93167088e+000, -6.87224238e+001, 6.19624594e-004, 1.45248582e-002
7.23655313e+005, 7.17194672e+001, 1.39432157e-002, -8.77416534e+001, 2.82613271e+000, -7.16637631e+001, 5.49437684e-004, 1.39323861e-002
7.07128375e+005, 7.52613831e+001, 1.32870266e-002, -8.77500687e+001, 2.95465791e+000, -7.52033628e+001, 5.21630306e-004, 1.32767834e-002
6.90978938e+005, 7.84722214e+001, 1.27433630e-002, -8.76703873e+001, 3.18975537e+000, -7.84073656e+001, 5.17994900e-004, 1.27328308e-002
