Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/10/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:53:02 PM
Resonance    : F1:2.93918781e+005 F2:2.55874281e+005 Fr:2.74237563e+005 Zr:1.05149002e+002 Q:7.20833662e+000
Capacitance  : 4.07653049e-009 F at 1.75447461e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.11629906e+001, 1.95453782e-002, -8.58873291e+001, 3.66930866e+000, -5.10312432e+001, 1.40175593e-003, 1.94950478e-002
9.77161875e+005, 5.23278008e+001, 1.91103006e-002, -8.58989334e+001, 3.74227564e+000, -5.21938129e+001, 1.36669249e-003, 1.90613677e-002
9.54845500e+005, 5.33472900e+001, 1.87450946e-002, -8.56465912e+001, 4.04949835e+000, -5.31933729e+001, 1.42290695e-003, 1.86910114e-002
9.33038625e+005, 5.47375717e+001, 1.82689873e-002, -8.55697784e+001, 4.22819982e+000, -5.45740239e+001, 1.41118661e-003, 1.82144022e-002
9.11729875e+005, 5.61640892e+001, 1.78049714e-002, -8.52729874e+001, 4.62839124e+000, -5.59730552e+001, 1.46727873e-003, 1.77444103e-002
8.90907750e+005, 5.74427490e+001, 1.74086376e-002, -8.55911865e+001, 4.41576187e+000, -5.72727724e+001, 1.33824372e-003, 1.73571244e-002
8.70561188e+005, 5.95111504e+001, 1.68035737e-002, -8.56454697e+001, 4.51854760e+000, -5.93393608e+001, 1.27585750e-003, 1.67550672e-002
8.50679250e+005, 6.16540298e+001, 1.62195399e-002, -8.49085083e+001, 5.47157233e+000, -6.14107588e+001, 1.43942555e-003, 1.61555418e-002
8.31251375e+005, 6.32607994e+001, 1.58075777e-002, -8.39515762e+001, 6.66572402e+000, -6.29086390e+001, 1.66562786e-003, 1.57195800e-002
8.12267250e+005, 6.36689911e+001, 1.57062329e-002, -8.22913132e+001, 8.54033120e+000, -6.30936064e+001, 2.10677801e-003, 1.55642937e-002
7.93716688e+005, 6.20518608e+001, 1.61155522e-002, -8.19052429e+001, 8.73756211e+000, -6.14336100e+001, 2.26924118e-003, 1.59549856e-002
7.75589750e+005, 6.18526306e+001, 1.61674611e-002, -8.51224670e+001, 5.25909574e+000, -6.16286445e+001, 1.37465820e-003, 1.61089141e-002
