Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/10/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:45:00 PM
Resonance    : F1:2.87206281e+005 F2:2.55874281e+005 Fr:2.74237563e+005 Zr:1.09638100e+002 Q:8.75263509e+000
Capacitance  : 4.03747256e-009 F at 1.75447461e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.19923096e+001, 1.92336137e-002, -8.60191727e+001, 3.60944437e+000, -5.18668696e+001, 1.33524860e-003, 1.91872095e-002
9.77161875e+005, 5.31759987e+001, 1.88054766e-002, -8.58989334e+001, 3.80293537e+000, -5.30398390e+001, 1.34489269e-003, 1.87573243e-002
9.54845500e+005, 5.43866386e+001, 1.83868690e-002, -8.57344818e+001, 4.04520129e+000, -5.42359918e+001, 1.36758932e-003, 1.83359388e-002
9.33038625e+005, 5.58040085e+001, 1.79198597e-002, -8.57016068e+001, 4.18255299e+000, -5.56470450e+001, 1.34310715e-003, 1.78694553e-002
9.11729875e+005, 5.72583199e+001, 1.74647108e-002, -8.52729874e+001, 4.71856501e+000, -5.70635640e+001, 1.43923842e-003, 1.74053072e-002
8.90907750e+005, 5.85619011e+001, 1.70759484e-002, -8.56351318e+001, 4.45700895e+000, -5.83920485e+001, 1.29961038e-003, 1.70264214e-002
8.70561188e+005, 6.08660202e+001, 1.64295283e-002, -8.55575790e+001, 4.71451213e+000, -6.06831590e+001, 1.27258543e-003, 1.63801687e-002
8.50679250e+005, 6.26534119e+001, 1.59608227e-002, -8.47327271e+001, 5.75169722e+000, -6.23888451e+001, 1.46523257e-003, 1.58934249e-002
8.31251375e+005, 6.38740807e+001, 1.56558026e-002, -8.36879120e+001, 7.02257257e+000, -6.34868621e+001, 1.72126172e-003, 1.55608937e-002
8.12267250e+005, 6.49094391e+001, 1.54060798e-002, -8.24231491e+001, 8.55869254e+000, -6.43427079e+001, 2.03138253e-003, 1.52715677e-002
7.93716688e+005, 6.32607994e+001, 1.58075777e-002, -8.19052429e+001, 8.90779353e+000, -6.26305034e+001, 2.22587510e-003, 1.56500796e-002
7.75589750e+005, 6.28552208e+001, 1.59095774e-002, -8.47269592e+001, 5.77652437e+000, -6.25892207e+001, 1.46212296e-003, 1.58422489e-002
7.57876750e+005, 6.57498016e+001, 1.52091714e-002, -8.67574463e+001, 3.71900826e+000, -6.56445382e+001, 8.60276874e-004, 1.51848219e-002
7.40568375e+005, 6.92214737e+001, 1.44463841e-002, -8.74693832e+001, 3.05635205e+000, -6.91539669e+001, 6.37854605e-004, 1.44322956e-002
7.23655313e+005, 7.24092331e+001, 1.38103935e-002, -8.76098175e+001, 3.01978765e+000, -7.23462364e+001, 5.75954942e-004, 1.37983783e-002
7.07128375e+005, 7.52581711e+001, 1.32875937e-002, -8.75303421e+001, 3.24289835e+000, -7.51882699e+001, 5.72566608e-004, 1.32752519e-002
6.90978938e+005, 7.87239227e+001, 1.27026190e-002, -8.74506683e+001, 3.50160478e+000, -7.86460093e+001, 5.65006799e-004, 1.26900472e-002
6.75198375e+005, 8.23492813e+001, 1.21433968e-002, -8.72829132e+001, 3.90371319e+000, -8.22567028e+001, 5.75649691e-004, 1.21297450e-002
6.59778188e+005, 8.61415863e+001, 1.16087948e-002, -8.68073730e+001, 4.79748520e+000, -8.60078893e+001, 6.46528856e-004, 1.15907773e-002
6.44710188e+005, 9.03987885e+001, 1.10620952e-002, -8.60679626e+001, 6.19892900e+000, -9.01859980e+001, 7.58562627e-004, 1.10360560e-002
6.29986188e+005, 9.54785080e+001, 1.04735612e-002, -8.51965485e+001, 7.99516714e+000, -9.51431700e+001, 8.77033736e-004, 1.04367762e-002
6.15598563e+005, 1.01168503e+002, 9.88449935e-003, -8.34021072e+001, 1.16243233e+001, -1.00498463e+002, 1.13573506e-003, 9.81903423e-003
