Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/19/2021
Graph title  : Title
Points       : 300
Pen legend   : 11:07:19 AM
Resonance    : F1:2.74237563e+005 F2:2.38740563e+005 Fr:2.61854469e+005 Zr:1.15515999e+002 Q:7.37680561e+000
Capacitance  : 3.78138433e-009 F at 2.36908789e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.38197403e+001, 1.85805430e-002, -8.74693604e+001, 2.37633716e+000, -5.37672527e+001, 8.20398512e-004, 1.85624224e-002
9.77161875e+005, 5.55824203e+001, 1.79913000e-002, -8.73051834e+001, 2.61326771e+000, -5.55209536e+001, 8.45880461e-004, 1.79714040e-002
9.54845500e+005, 5.72181282e+001, 1.74769786e-002, -8.72725677e+001, 2.72270729e+000, -5.71533119e+001, 8.31636727e-004, 1.74571808e-002
9.33038625e+005, 5.96661797e+001, 1.67599133e-002, -8.69760284e+001, 3.14761537e+000, -5.95830975e+001, 8.84148460e-004, 1.67365760e-002
9.11729875e+005, 6.18192291e+001, 1.61761965e-002, -8.64595108e+001, 3.81757701e+000, -6.17012414e+001, 9.98942834e-004, 1.61453228e-002
8.90907750e+005, 6.46722107e+001, 1.54625919e-002, -8.53714600e+001, 5.21875169e+000, -6.44613021e+001, 1.24776046e-003, 1.54121654e-002
8.70561188e+005, 6.67903137e+001, 1.49722309e-002, -8.27450790e+001, 8.43455926e+000, -6.62555976e+001, 1.89075574e-003, 1.48523648e-002
8.50679250e+005, 6.53004913e+001, 1.53138205e-002, -7.91516724e+001, 1.22901914e+001, -6.41334964e+001, 2.88221084e-003, 1.50401449e-002
8.31251375e+005, 6.14220695e+001, 1.62807930e-002, -8.04798965e+001, 1.01588206e+001, -6.05761421e+001, 2.69273986e-003, 1.60565679e-002
8.12267250e+005, 6.16203308e+001, 1.62284101e-002, -8.45764694e+001, 5.82417921e+000, -6.13444709e+001, 1.53386338e-003, 1.61557593e-002
7.93716688e+005, 6.48809586e+001, 1.54128426e-002, -8.62558289e+001, 4.23683131e+000, -6.47424748e+001, 1.00648350e-003, 1.53799450e-002
7.75589750e+005, 6.78752365e+001, 1.47329137e-002, -8.67923889e+001, 3.79790020e+000, -6.77688991e+001, 8.24367453e-004, 1.47098322e-002
7.57876750e+005, 7.10077133e+001, 1.40829771e-002, -8.68892899e+001, 3.85326664e+000, -7.09030866e+001, 7.64219311e-004, 1.40622264e-002
7.40568375e+005, 7.38075027e+001, 1.35487581e-002, -8.65904770e+001, 4.38950107e+000, -7.36768603e+001, 8.05775644e-004, 1.35247762e-002
7.23655313e+005, 7.62248001e+001, 1.31190898e-002, -8.62914581e+001, 4.93030244e+000, -7.60651843e+001, 8.48556906e-004, 1.30916183e-002
7.07128375e+005, 7.82155228e+001, 1.27851859e-002, -8.59922638e+001, 5.46657412e+000, -7.80242563e+001, 8.93571557e-004, 1.27539213e-002
6.90978938e+005, 8.00000000e+001, 1.25000000e-002, -8.60004730e+001, 5.57985904e+000, -7.98051701e+001, 8.71852976e-004, 1.24695578e-002
6.75198375e+005, 8.28868027e+001, 1.20646468e-002, -8.65797882e+001, 4.94490325e+000, -8.27391684e+001, 7.19758868e-004, 1.20431578e-002
6.59778188e+005, 8.64330673e+001, 1.15696461e-002, -8.65876389e+001, 5.14464614e+000, -8.62798223e+001, 6.88645411e-004, 1.15491332e-002
6.44710188e+005, 9.04219818e+001, 1.10592577e-002, -8.65953064e+001, 5.36999404e+000, -9.02623840e+001, 6.56788834e-004, 1.10397378e-002
6.29986188e+005, 9.42906265e+001, 1.06055081e-002, -8.61633530e+001, 6.30918308e+000, -9.40793094e+001, 7.09636731e-004, 1.05817398e-002
6.15598563e+005, 9.99219666e+001, 1.00078094e-002, -8.51599274e+001, 8.43089287e+000, -9.95656539e+001, 8.44406612e-004, 9.97212250e-003
6.01539500e+005, 1.04870796e+002, 9.53554313e-003, -8.32334900e+001, 1.23562494e+001, -1.04140324e+002, 1.12351154e-003, 9.46912375e-003
5.87801563e+005, 1.09357697e+002, 9.14430380e-003, -8.02082596e+001, 1.85981839e+001, -1.07764620e+002, 1.55514837e-003, 9.01109347e-003
5.74377313e+005, 1.10420097e+002, 9.05632239e-003, -7.63479080e+001, 2.60619808e+001, -1.07300378e+002, 2.13752483e-003, 8.80045242e-003
5.61259688e+005, 1.06574303e+002, 9.38312496e-003, -7.23555603e+001, 3.23036423e+001, -1.01560606e+002, 2.84411068e-003, 8.94170389e-003
