Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/10/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:13:58 PM
Resonance    : F1:3.00788156e+005 F2:2.50030578e+005 Fr:2.80646969e+005 Zr:1.53817596e+002 Q:5.52916390e+000
Capacitance  : 4.00471919e-009 F at 2.31498477e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.16273918e+001, 1.93695626e-002, -8.61070633e+001, 3.50510226e+000, -5.15082697e+001, 1.31504412e-003, 1.93248704e-002
9.77161875e+005, 5.22967415e+001, 1.91216503e-002, -8.53715820e+001, 4.21999686e+000, -5.21262007e+001, 1.54298914e-003, 1.90592941e-002
9.54845500e+005, 5.33170586e+001, 1.87557233e-002, -8.63936615e+001, 3.35369249e+000, -5.32114788e+001, 1.17975241e-003, 1.87185828e-002
9.33038625e+005, 5.52396393e+001, 1.81029423e-002, -8.68881378e+001, 2.99871381e+000, -5.51581858e+001, 9.82728050e-004, 1.80762486e-002
9.11729875e+005, 5.74161491e+001, 1.74167027e-002, -8.68110733e+001, 3.19397653e+000, -5.73272422e+001, 9.68865738e-004, 1.73897335e-002
8.90907750e+005, 6.00640297e+001, 1.66488996e-002, -8.64700928e+001, 3.69811451e+000, -5.99500760e+001, 1.02506504e-003, 1.66173132e-002
8.70561188e+005, 6.26320000e+001, 1.59662792e-002, -8.56015167e+001, 4.80341307e+000, -6.24475351e+001, 1.22449601e-003, 1.59192551e-002
8.50679250e+005, 6.53097610e+001, 1.53116469e-002, -8.37219772e+001, 7.14182120e+000, -6.49180967e+001, 1.67437520e-003, 1.52198225e-002
8.31251375e+005, 6.67987366e+001, 1.49703430e-002, -7.89857635e+001, 1.27620922e+001, -6.55682866e+001, 2.86012741e-003, 1.46945854e-002
8.12267250e+005, 5.89145889e+001, 1.69737245e-002, -7.75012665e+001, 1.27501795e+001, -5.75183598e+001, 3.67342007e-003, 1.65714606e-002
7.93716688e+005, 5.87251701e+001, 1.70284734e-002, -8.39267273e+001, 6.21313602e+000, -5.83955696e+001, 1.80161627e-003, 1.69328995e-002
7.75589750e+005, 6.20298119e+001, 1.61212806e-002, -8.65287170e+001, 3.75579717e+000, -6.19160040e+001, 9.76115484e-004, 1.60917024e-002
7.57876750e+005, 6.55204163e+001, 1.52624183e-002, -8.73726883e+001, 3.00340159e+000, -6.54515433e+001, 6.99616609e-004, 1.52463749e-002
7.40568375e+005, 6.85420532e+001, 1.45895834e-002, -8.75572662e+001, 2.92131938e+000, -6.84797704e+001, 6.21820192e-004, 1.45763261e-002
7.23655313e+005, 7.14725037e+001, 1.39913946e-002, -8.76537628e+001, 2.92594996e+000, -7.14125871e+001, 5.72781395e-004, 1.39796654e-002
7.07128375e+005, 7.47686234e+001, 1.33745943e-002, -8.76182327e+001, 3.10721274e+000, -7.47040311e+001, 5.55817504e-004, 1.33630400e-002
6.90978938e+005, 7.79652710e+001, 1.28262236e-002, -8.75824966e+001, 3.28864335e+000, -7.78958812e+001, 5.41021335e-004, 1.28148082e-002
6.75198375e+005, 8.12985764e+001, 1.23003384e-002, -8.72829132e+001, 3.85390522e+000, -8.12071791e+001, 5.83089403e-004, 1.22865101e-002
6.59778188e+005, 8.53221970e+001, 1.17202795e-002, -8.69392014e+001, 4.55583066e+000, -8.52004795e+001, 6.25811463e-004, 1.17035598e-002
6.44710188e+005, 8.98337708e+001, 1.11316712e-002, -8.62437363e+001, 5.88520953e+000, -8.96407869e+001, 7.29260466e-004, 1.11077578e-002
6.29986188e+005, 9.48889999e+001, 1.05386294e-002, -8.49768219e+001, 8.30836036e+000, -9.45245654e+001, 9.22749006e-004, 1.04981543e-002
6.15598563e+005, 1.00876297e+002, 9.91313153e-003, -8.28308334e+001, 1.25892927e+001, -1.00087647e+002, 1.23715201e-003, 9.83563071e-003
6.01539500e+005, 1.06210403e+002, 9.41527353e-003, -7.89268494e+001, 2.03989933e+001, -1.04233060e+002, 1.80831723e-003, 9.23998725e-003
5.87801563e+005, 1.06553001e+002, 9.38500077e-003, -7.32209473e+001, 3.07599104e+001, -1.02016518e+002, 2.70927875e-003, 8.98543533e-003
5.74377313e+005, 9.95852203e+001, 1.00416507e-002, -6.86574783e+001, 3.62433019e+001, -9.27558040e+001, 3.65458426e-003, 9.35300824e-003
5.61259688e+005, 9.07058792e+001, 1.10246437e-002, -6.64668884e+001, 3.62169506e+001, -8.31618242e+001, 4.40190846e-003, 1.01077184e-002
5.48441563e+005, 8.20878372e+001, 1.21820727e-002, -6.88464737e+001, 2.96228922e+001, -7.65564973e+001, 4.39612296e-003, 1.13612058e-002
5.35916250e+005, 7.69673920e+001, 1.29925151e-002, -7.47415237e+001, 2.02558119e+001, -7.42541683e+001, 3.41929139e-003, 1.25345081e-002
5.23677000e+005, 7.94863892e+001, 1.25807702e-002, -8.02848587e+001, 1.34133171e+001, -7.83464676e+001, 2.12300323e-003, 1.24003483e-002
5.11717250e+005, 8.45018463e+001, 1.18340610e-002, -8.38505173e+001, 9.05207254e+000, -8.40156058e+001, 1.26769749e-003, 1.17659654e-002
5.00030563e+005, 8.98337708e+001, 1.11316712e-002, -8.56582336e+001, 6.80092090e+000, -8.95759669e+001, 8.42730019e-004, 1.10997257e-002
4.88610875e+005, 9.58101807e+001, 1.04373042e-002, -8.68066330e+001, 5.33719402e+000, -9.56614085e+001, 5.81419606e-004, 1.04210973e-002
4.77451969e+005, 1.01201698e+002, 9.88125710e-003, -8.72517624e+001, 4.85235876e+000, -1.01085302e+002, 4.73780630e-004, 9.86989229e-003
4.66547844e+005, 1.07241501e+002, 9.32474827e-003, -8.71694336e+001, 5.29586525e+000, -1.07110659e+002, 4.60480411e-004, 9.31337147e-003
4.55892875e+005, 1.13276299e+002, 8.82797207e-003, -8.65156708e+001, 6.88442830e+000, -1.13066903e+002, 5.36524777e-004, 8.81165320e-003
4.45481188e+005, 1.17739502e+002, 8.49332623e-003, -8.55102310e+001, 9.21677537e+000, -1.17378198e+002, 6.64866750e-004, 8.46726299e-003
4.35307250e+005, 1.21592903e+002, 8.22416419e-003, -8.40212784e+001, 1.26650089e+001, -1.20931516e+002, 8.56621645e-004, 8.17943005e-003
4.25365688e+005, 1.18500298e+002, 8.43879738e-003, -8.27079773e+001, 1.50408287e+001, -1.17541882e+002, 1.07110706e-003, 8.37054543e-003
4.15651156e+005, 1.20423798e+002, 8.30400652e-003, -8.53057022e+001, 9.85540177e+000, -1.20019840e+002, 6.79594251e-004, 8.27615103e-003
4.06158438e+005, 1.26791496e+002, 7.88696426e-003, -8.66728363e+001, 7.35863995e+000, -1.26577778e+002, 4.57738350e-004, 7.87367010e-003
3.96882656e+005, 1.32638702e+002, 7.53927762e-003, -8.68973007e+001, 7.17918321e+000, -1.32444270e+002, 4.08069849e-004, 7.52822595e-003
